Avg, 40, 0.5434952681999998, 0.5196879024000001, 0.683165343195, 0.5887674399999999
Avg, 60, 0.5413733128, 0.5099010633999999, 0.6817269774166668, 0.5735493614
Avg, 80, 0.5399199884000001, 0.5089580034, 0.678571954425, 0.5748973206000001
Avg, 100, 0.539823038, 0.5090781628000001, 0.6761531097119999, 0.5732179036
Avg, 120, 0.5411481640000001, 0.5066291407999999, 0.68062505601, 0.5765203671999999
Avg, 140, 0.5407223768, 0.5052358718, 0.680137539232857, 0.5744106882000001
Avg, 160, 0.5389032896000001, 0.504266243, 0.6809341564587501, 0.579525194
Avg, 180, 0.5396648056, 0.5053728044, 0.6779827654733332, 0.5775532164
Avg, 200, 0.5384162088, 0.5057465444, 0.6774775145890001, 0.5790963356
Avg, 220, 0.5386616296000001, 0.5040606458, 0.6818929664163637, 0.584737913
Avg, 240, 0.5390011240000001, 0.5049206704, 0.6799807342708333, 0.57890794
Avg, 260, 0.5389892960000001, 0.5030190032, 0.6797037510623076, 0.5775175962000001
Avg, 288, 0.5383925528000001, 0.503778732, 0.6785025575284722, 0.5804371144

